tag,count,datatypes
root,1,dict
count,1,int
pageInformation,1,dict
pageInformation.offset,1,int
pageInformation.size,1,int
items,1,list
items.[],10,dict
items.[].typeDiscriminator,10,str
items.[].pureId,10,int
items.[].uuid,10,str
items.[].createdBy,10,str
items.[].createdDate,10,str
items.[].modifiedBy,10,str
items.[].modifiedDate,10,str
items.[].portalUrl,10,str
items.[].version,10,str
items.[].title,10,dict
items.[].title.value,10,str
items.[].subTitle,3,dict
items.[].subTitle.value,3,str
items.[].type,10,dict
items.[].type.uri,10,str
items.[].type.term,10,dict
items.[].type.term.en_GB,10,str
items.[].category,10,dict
items.[].category.uri,10,str
items.[].category.term,10,dict
items.[].category.term.en_GB,10,str
items.[].peerReview,10,bool
items.[].publicationStatuses,10,list
items.[].publicationStatuses.[],29,dict
items.[].publicationStatuses.[].pureId,29,int
items.[].publicationStatuses.[].current,29,bool
items.[].publicationStatuses.[].publicationStatus,29,dict
items.[].publicationStatuses.[].publicationStatus.uri,29,str
items.[].publicationStatuses.[].publicationStatus.term,29,dict
items.[].publicationStatuses.[].publicationStatus.term.en_GB,29,str
items.[].publicationStatuses.[].publicationDate,29,dict
items.[].publicationStatuses.[].publicationDate.year,29,int
items.[].publicationStatuses.[].publicationDate.month,29,int
items.[].publicationStatuses.[].publicationDate.day,29,int
items.[].language,10,dict
items.[].language.uri,10,str
items.[].language.term,10,dict
items.[].language.term.en_GB,10,str
items.[].contributors,10,list
items.[].contributors.[],21,dict
items.[].contributors.[].typeDiscriminator,21,str
items.[].contributors.[].pureId,21,int
items.[].contributors.[].externalOrganizations,1,list
items.[].contributors.[].externalOrganizations.[],1,dict
items.[].contributors.[].externalOrganizations.[].systemName,1,str
items.[].contributors.[].externalOrganizations.[].uuid,1,str
items.[].contributors.[].hidden,21,bool
items.[].contributors.[].correspondingAuthor,21,bool
items.[].contributors.[].name,21,dict
items.[].contributors.[].name.firstName,21,str
items.[].contributors.[].name.lastName,21,str
items.[].contributors.[].role,21,dict
items.[].contributors.[].role.uri,21,str
items.[].contributors.[].role.term,21,dict
items.[].contributors.[].role.term.en_GB,21,str
items.[].contributors.[].externalPerson,10,dict
items.[].contributors.[].externalPerson.systemName,10,str
items.[].contributors.[].externalPerson.uuid,10,str
items.[].contributors.[].person,11,dict
items.[].contributors.[].person.systemName,11,str
items.[].contributors.[].person.uuid,11,str
items.[].organizations,10,list
items.[].organizations.[],12,dict
items.[].organizations.[].systemName,12,str
items.[].organizations.[].uuid,12,str
items.[].totalNumberOfContributors,10,int
items.[].managingOrganization,10,dict
items.[].managingOrganization.systemName,10,str
items.[].managingOrganization.uuid,10,str
items.[].electronicVersions,10,list
items.[].electronicVersions.[],19,dict
items.[].electronicVersions.[].typeDiscriminator,19,str
items.[].electronicVersions.[].pureId,19,int
items.[].electronicVersions.[].accessType,19,dict
items.[].electronicVersions.[].accessType.uri,19,str
items.[].electronicVersions.[].accessType.term,19,dict
items.[].electronicVersions.[].accessType.term.en_GB,19,str
items.[].electronicVersions.[].visibleOnPortalDate,10,str
