tag,count,datatypes
root,1,dict
root.count,1,int
root.items,1,list
root.items.[],10,dict
root.items.[].abstract,9,dict
root.items.[].abstract.en_GB,9,str
root.items.[].bibliographicalNote,10,dict
root.items.[].bibliographicalNote.en_GB,10,str
root.items.[].category,10,dict
root.items.[].category.term,10,dict
root.items.[].category.term.en_GB,10,str
root.items.[].category.uri,10,str
root.items.[].contributors,10,list
root.items.[].contributors.[],21,dict
root.items.[].contributors.[].correspondingAuthor,21,bool
root.items.[].contributors.[].externalOrganizations,1,list
root.items.[].contributors.[].externalOrganizations.[],1,dict
root.items.[].contributors.[].externalOrganizations.[].systemName,1,str
root.items.[].contributors.[].externalOrganizations.[].uuid,1,str
root.items.[].contributors.[].externalPerson,10,dict
root.items.[].contributors.[].externalPerson.systemName,10,str
root.items.[].contributors.[].externalPerson.uuid,10,str
root.items.[].contributors.[].hidden,21,bool
root.items.[].contributors.[].name,21,dict
root.items.[].contributors.[].name.firstName,21,str
root.items.[].contributors.[].name.lastName,21,str
root.items.[].contributors.[].organizations,1,list
root.items.[].contributors.[].organizations.[],1,dict
root.items.[].contributors.[].organizations.[].systemName,1,str
root.items.[].contributors.[].organizations.[].uuid,1,str
root.items.[].contributors.[].person,11,dict
root.items.[].contributors.[].person.systemName,11,str
root.items.[].contributors.[].person.uuid,11,str
root.items.[].contributors.[].pureId,21,int
root.items.[].contributors.[].role,21,dict
root.items.[].contributors.[].role.term,21,dict
root.items.[].contributors.[].role.term.en_GB,21,str
root.items.[].contributors.[].role.uri,21,str
root.items.[].contributors.[].typeDiscriminator,21,str
root.items.[].createdBy,10,str
root.items.[].createdDate,10,str
root.items.[].customDefinedFields,10,dict
root.items.[].customDefinedFields.researchoutput_classification_budget,10,dict
root.items.[].customDefinedFields.researchoutput_classification_budget.typeDiscriminator,10,str
root.items.[].customDefinedFields.researchoutput_classification_debit_credit,10,dict
root.items.[].customDefinedFields.researchoutput_classification_debit_credit.typeDiscriminator,10,str
root.items.[].customDefinedFields.researchoutput_classification_open_access_charge_type,10,dict
root.items.[].customDefinedFields.researchoutput_classification_open_access_charge_type.typeDiscriminator,10,str
root.items.[].customDefinedFields.researchoutput_classification_open_access_type,10,dict
root.items.[].customDefinedFields.researchoutput_classification_open_access_type.typeDiscriminator,10,str
root.items.[].customDefinedFields.researchoutput_classification_supplier,10,dict
root.items.[].customDefinedFields.researchoutput_classification_supplier.typeDiscriminator,10,str
root.items.[].customDefinedFields.researchoutput_date_date_invoice_paid,10,dict
root.items.[].customDefinedFields.researchoutput_date_date_invoice_paid.typeDiscriminator,10,str
